id	date	score	known	title	first_author	n_authors	comment	jref	cats
2609.00812	2026-09-01	1		Aerodynamic Shape Design Space Exploration with Deep Latent Diffusion Model	Zhen Wei	5	This is the authors' postprint of the AIAA Journal article https://doi.org/10.2514/1.J066320. Data, code and agentic skill demo: https://github.com/kfxw/DiffGeo	AIAA Journal, 2026	cs.CE
2509.11638	2025-09-15	0		IS-Diff: Improving Diffusion-Based Inpainting with Better Initial Seed	Yongzhe Lyu	4			cs.CV
2511.15196	2025-11-19	0		Particle Monte Carlo methods for Lattice Field Theory	David Yallup	1	To appear in the NeurIPS 2025 workshop, Frontiers in Probabilistic Inference: Sampling Meets Learning		stat.ML,cs.LG,hep-lat
2602.08642	2026-02-09	0		Forget Superresolution, Sample Adaptively (when Path Tracing)	Martin Bálint	4			cs.GR
2604.27738	2026-04-30	0		Sampling two-dimensional spin systems with transformers	Piotr Białas	5	15 pages, 7 figures		cond-mat.dis-nn,cond-mat.stat-mech,cs.LG
2605.06831	2026-05-07	0		Why DDIM Hallucinates More Than DDPM: A Theoretical Analysis of Reverse Dynamics	Muhammad H. Ashiq	6	Accepted in ICML		cs.LG,cs.AI
2605.07969	2026-05-08	0		When Diffusion Model Can Ignore Dimension: An Entropy-Based Theory	Ahmad Aghapour	2			cs.LG,cs.IT
2605.11214	2026-05-11	0		Enforcing Constraints in Generative Sampling via Adaptive Correction Scheduling	Noah Trupin	2			cs.LG
2605.12951	2026-05-13	0		Coreset-Induced Conditional Velocity Flow Matching	Xiao Wang	3			stat.ML,cs.LG
2605.16829	2026-05-16	0		Constrained Code Generation with Discrete Diffusion	Lize Shao	5			cs.CL,cs.PL
2605.17546	2026-05-17	0		Accelerating Redshift-Conditioned Galaxy Image Synthesis with One-step Generative Modeling	Tianyue Yang	3	19 pages, 8 figures		astro-ph.IM,astro-ph.GA,cs.LG
2606.08439	2026-06-07	0		RadioDiff-Inv2: Differentiable Diffusion Inversion under Location Drift from Sparse Noisy Measurements for Radio Map Estimation	Xiucheng Wang	3			eess.SY
2606.14139	2026-06-12	0		Decoupled Latent Optimization of Diffusion Models for Full Waveform Inversion	Chen Min	2	35 pages, 14 figures		cs.LG
2606.19729	2026-06-18	0		VOiLA: Vectorized Online Planning with Learned Diffusion Models for POMDP Agents	Marcus Hoerger	5	Submitted to the 2026 International Symposium of Robotics Research (ISRR)		cs.RO,cs.AI
2606.21099	2026-06-19	0		ShuffleFlow: Scalable Posterior Inference for Bayesian Inverse Imaging	Tianao Li	4	Accepted to IEEE International Conference on Computational Photography (ICCP), 2026		cs.CV
2606.23627	2026-06-22	0		Diffusion Models Adapt to Low-Dimensional Structure Under Flexible Coefficient Choices	Changxiao Cai	3			stat.ML,cs.LG,math.ST
2607.01693	2026-07-02	0		A Mathematical Introduction to Diffusion Models	Jianfeng Lu	1	Lecture notes for the John Tukey Summer Graduate School on Mathematics of Generative Models at SLMath (June 22nd, 2026 -- July 2nd, 2026)		cs.LG,math.PR
2607.12937	2026-07-14	0		Exact and Calibrated Diffusion Reconstruction for Digital Breast Tomosynthesis	Imade Bouftini	1	arXiv admin comment: This version has been removed by arXiv administrators as the submitter did not have the rights to agree to the license at the time of submission		eess.IV
2607.14424	2026-07-15	0		ConFlow: Constraints-Guided Learning with Flow Matching for Motion Generation	Nutan Chen	4	RSS 2026 Workshop on Diffusion for Robot Learning		cs.RO,cs.AI,cs.LG
2608.06376	2026-08-06	0		A Tale of Two Compact Bosons	Christian Ferko	3	"11 pages, for Proceedings of ""DANGER: Data, Numbers, and Geometry'' workshop, Banff International Research Station, April 2026, based on arXiv:2604.02313"		hep-th
2608.22309	2026-08-23	0		StocBench: A Benchmark for Generative Modeling of Stochastic Dynamics	Sebastian Pfister	3	Code available at https://github.com/tum-pbs/stocbench		cs.LG
2608.30778	2026-08-31	0		Reciprocity Separates Gradient Flow from Rotation in Conservative Physical Learning	Ruiwu Niu	3			cs.LG,nlin.AO
