id	title	year	category	source_url	pdf_path	report_path	venue	pub_status	code_url	project_url	section	authors
2410.21795	Robot Policy Learning with Temporal Optimal Transport Reward	2024	robot_video_reward_ot	https://arxiv.org/abs/2410.21795	papers/2410.21795_temporal_ot_reward.pdf	reports/2410.21795_temporal_ot_reward.md	NeurIPS 2024	published	https://github.com/fuyw/TemporalOT		4.5	Yuwei Fu, Haichao Zhang, Di Wu, Wei Xu, Benoit Boulet
2504.11713	Adjoint Sampling: Highly Scalable Diffusion Samplers via Adjoint Matching	2025	adjoint_energy_sampling	https://arxiv.org/abs/2504.11713	papers/2504.11713_adjoint_sampling.pdf	reports/2504.11713_adjoint_sampling.md	ICML 2025	published	https://github.com/facebookresearch/adjoint_sampling		3.1	Aaron Havens, Benjamin Kurt Miller, Bing Yan, Carles Domingo-Enrich, Anuroop Sriram, Daniel Levine, Bin Hu, Brandon Amos, Brian Karrer, Xiang Fu, Guan-Horng Liu, Ricky T. Q. Chen 等
2506.10168	Momentum Multi-Marginal Schrödinger Bridge Matching	2025	multi_marginal_sb_matching	https://arxiv.org/abs/2506.10168	papers/2506.10168_momentum_multi_marginal_sbm.pdf	reports/2506.10168_momentum_multi_marginal_sbm.md	NeurIPS 2025	published	https://github.com/panostheo98/3MSBM		2.3	Panagiotis Theodoropoulos, Augustinos D. Saravanos, Evangelos A. Theodorou, Guan-Horng Liu
2506.22565	Adjoint Schrödinger Bridge Sampler	2025	adjoint_schrodinger_bridge_sampling	https://arxiv.org/abs/2506.22565	papers/2506.22565_adjoint_schrodinger_bridge_sampler.pdf	reports/2506.22565_adjoint_schrodinger_bridge_sampler.md	NeurIPS 2025 (Oral)	published	https://github.com/facebookresearch/adjoint_samplers		3.1	Guan-Horng Liu, Jaemoo Choi, Yongxin Chen, Benjamin Kurt Miller, Ricky T. Q. Chen
2509.18631	Generalizable Domain Adaptation for Sim-and-Real Policy Co-Training	2025	sim_real_cotraining_uot	https://arxiv.org/abs/2509.18631	papers/2509.18631_guided_ot_sim_real_policy_cotraining.pdf	reports/2509.18631_guided_ot_sim_real_policy_cotraining.md	NeurIPS 2025	published		https://ot-sim2real.github.io/	4.4	Shuo Cheng, Liqian Ma, Zhenyang Chen, Ajay Mandlekar, Caelan Garrett, Danfei Xu
2509.19626	EgoBridge: Domain Adaptation for Generalizable Imitation from Egocentric Human Data	2025	human_robot_cotraining_ot	https://arxiv.org/abs/2509.19626	papers/2509.19626_egobridge.pdf	reports/2509.19626_egobridge.md	NeurIPS 2025 + CoRL 2025 (Oral)	published			4.4	Ryan Punamiya, Dhruv Patel, Patcharapong Aphiwetsa, Pranav Kuppili, Lawrence Y. Zhu, Simar Kareer, Judy Hoffman, Danfei Xu
2511.06239	Functional Adjoint Sampler: Scalable Sampling on Infinite Dimensional Spaces	2026	function_space_adjoint_sampling	https://arxiv.org/abs/2511.06239	papers/2511.06239_functional_adjoint_sampler.pdf	reports/2511.06239_functional_adjoint_sampler.md	ICML 2026	accepted			3.1	Byoungwoo Park, Juho Lee, Guan-Horng Liu
2602.07132	Discrete Adjoint Matching	2026	discrete_adjoint_reward_finetuning	https://arxiv.org/abs/2602.07132	papers/2602.07132_discrete_adjoint_matching.pdf	reports/2602.07132_discrete_adjoint_matching.md	ICLR 2026	published			3.2	Oswin So, Brian Karrer, Chuchu Fan, Ricky T. Q. Chen, Guan-Horng Liu
2602.08243	Discrete Adjoint Schrödinger Bridge Sampler	2026	discrete_adjoint_sb_sampling	https://arxiv.org/abs/2602.08243	papers/2602.08243_discrete_adjoint_schrodinger_bridge_sampler.pdf	reports/2602.08243_discrete_adjoint_schrodinger_bridge_sampler.md	ICML 2026	accepted			3.1	Wei Guo, Yuchen Zhu, Xiaochen Du, Juno Nam, Yongxin Chen, Rafael Gómez-Bombarelli, Guan-Horng Liu, Molei Tao, Jaemoo Choi
2602.23737	Bridging Dynamics Gaps via Diffusion Schrödinger Bridge for Cross-Domain Reinforcement Learning	2026	cross_domain_dynamics_sb	https://arxiv.org/abs/2602.23737	papers/2602.23737_bdgxrl_diffusion_schrodinger_bridge.pdf	reports/2602.23737_bdgxrl_diffusion_schrodinger_bridge.md	arXiv	preprint			4.4	Hanping Zhang, Yuhong Guo
